section,subheader,subheader2,detail,month,value
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2023-03-31,4972999
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2023-04-30,4735308
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2023-05-31,4824432
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2023-06-30,4750807
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2023-07-31,4873790
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2023-08-31,4944774
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2023-09-30,4710819
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2023-10-31,4667172
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2023-11-30,4321289
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2023-12-31,5137501
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2024-01-31,4647125
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2024-02-29,4399242
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2024-03-31,4825396
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2024-04-30,4644278
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2024-05-31,4917401
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2024-06-30,4759912
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2024-07-31,4882722
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2024-08-31,5263721
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2024-09-30,5210149
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2024-10-31,5624689
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2024-11-30,5662057
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2024-12-31,6252285
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2025-01-31,5460226
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2025-02-28,4982453
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2025-03-31,5477136
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2025-04-30,5411716
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2025-05-31,5706067
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2025-06-30,5613740
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2025-07-01,6264829
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2025-08-01,6276001
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2025-09-01,6425551
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2025-10-01,6865649
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2025-11-01,6696912
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2025-12-01,8042314
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2026-01-01,7266101.0
Revenue,Service Revenue,Service Revenue,Airtime vouchers income,2026-02-01,6541732.0
